Area Code (FAO),Year,population,yield,harvested,Value
1,2004,3065.745,23416,124511.0,291556.0
1,2005,3047.246,20252,127574.0,258361.0
1,2006,3026.486,14627,100188.0,146544.0
1,2007,3004.393,25837,98400.0,254233.0
1,2008,2983.421,24322,92810.0,225734.0
1,2009,2964.296,22374,88530.0,198080.0
1,2010,2946.293,21192,86574.0,183464.0
1,2011,2928.976,28800,77806.0,224082.0
1,2012,2914.421,26010,93476.0,243130.0
1,2013,2901.385,31273,99626.0,311558.0
1,2014,2889.93,32260,104823.0,338158.0
1,2015,2878.595,33437,108485.0,362746.0
1,2016,2865.835,32427,108049.0,350369.0
1,2017,2851.923,21783,80992.0,176428.0
1,2018,2836.557,28240,66378.0,187453.0
1,2019,2820.602,19565,57563.0,112621.0
1,2020,2805.608,22528,58572.0,131951.0
10,1961,10505.938,11291,5958110.0,6727192.0
10,1962,10711.941,12533,6664679.0,8352912.0
10,1963,10917.375,13387,6666676.0,8924460.0
10,1964,11131.609,13841,7251495.0,10036954.0
10,1965,11359.442,9970,7087977.0,7067060.0
10,1966,11592.675,15070,8426760.0,12699257.0
10,1967,11809.11,8310,9081640.0,7546691.0
10,1968,12027.262,13650,10845345.0,14804143.0
10,1969,12268.349,11118,9485958.0,10546200.0
10,1970,12595.034,12179,6478418.0,7889918.0
10,1971,12993.834,12057,7137852.0,8606000.0
10,1972,13300.308,8666,7604082.0,6590000.0
10,1973,13513.318,13396,8948257.0,11987000.0
10,1974,13713.388,13671,8307541.0,11357000.0
10,1975,13886.854,14006,8555202.0,11982000.0
10,1976,14038.072,13175,8956259.0,11800000.0
10,1977,14193.365,9413,9954865.0,9370336.0
10,1978,14355.814,17651,10248895.0,18090000.0
10,1979,14520.527,14515,11152714.0,16188000.0
10,1980,14706.322,9622,11283051.0,10856000.0
10,1981,14930.052,13765,11885000.0,16360000.0
10,1982,15168.445,7705,11519662.0,8875571.0
10,1983,15383.076,17026,12930637.0,22016000.0
10,1984,15579.476,15455,12078000.0,18666032.0
10,1985,15785.682,13695,11682000.0,15999000.0
10,1986,16012.299,14476,11135000.0,16119000.0
10,1987,16259.249,13645,9005000.0,12287000.0
10,1988,16525.903,15787,8826822.0,13935000.0
10,1989,16796.588,15787,9003872.0,14214495.0
10,1990,17048.003,16344,9218091.0,15066100.0
10,1991,17271.086,14698,7183000.0,10557400.0
10,1992,17462.504,17812,8274614.0,14738678.0
10,1993,17631.511,19658,8383000.0,16479000.0
10,1994,17805.504,11356,7890690.0,8961000.0
10,1995,18002.999,17899,9220820.0,16504000.0
10,1996,18211.845,21673,10936000.0,23702000.0
10,1997,18410.25,18412,10441000.0,19224000.0
10,1998,18601.667,19153,11543000.0,22108000.0
10,1999,18800.892,20066,12338000.0,24757000.0
10,2000,19017.963,18209,12141000.0,22108000.0
10,2001,19248.143,18209,12141389.0,22108078.0
10,2002,19475.844,21076,11529155.0,24299335.0
10,2003,19698.999,9070,11170280.0,10131924.0
10,2004,19925.056,19998,13067077.0,26131870.0
10,2005,20171.731,16348,13399397.0,21905113.0
10,2006,20467.03,20213,12442719.0,25150343.0
10,2007,20830.828,9173,11797888.0,10821628.0
10,2008,21247.873,10788,12578309.0,13569378.0
10,2009,21660.892,15831,13530196.0,21420177.0
10,2010,22019.168,15729,13881030.0,21834010.0
10,2011,22357.034,20301,13501780.0,27410076.0
10,2012,22729.269,21511,13902140.0,29905009.0
10,2013,23111.782,17609,12979382.0,22855576.0
10,2014,23469.579,20061,12613226.0,25303037.0
10,2015,23820.236,19172,12383673.0,23742560.0
10,2016,24195.701,19743,11282202.0,22274514.0
10,2017,24590.334,26100,12191153.0,31818744.0
10,2018,24979.23,19178,10919180.0,20941134.0
10,2019,25357.17,16917,10402271.0,17597561.0
10,2020,25670.051,14681,9863184.0,14480217.0
11,1961,7085.435,25802,275822.0,711673.0
11,1962,7128.967,26122,270351.0,706206.0
11,1963,7174.868,25099,274722.0,689528.0
11,1964,7222.9,26524,282967.0,750534.0
11,1965,7269.888,23969,275654.0,660712.0
11,1966,7320.913,28581,313812.0,896906.0
11,1967,7375.63,33049,316319.0,1045402.0
11,1968,7413.808,34175,305691.0,1044709.0
11,1969,7439.324,33172,286470.0,950279.0
11,1970,7465.301,29445,275229.0,810424.0
11,1971,7498.541,35577,273849.0,974281.0
11,1972,7542.077,31461,274404.0,863310.0
